Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR006787	Other Sequencing of house mouse	Illumina Genome Analyzer	239	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006787/SRR006787.sra	SRR006787.sra	SRR006787_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006787/SRR006787.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006787/SRR006787.fastq.gz	SRR006787.fastq.gz	SRR006787_Other_Sequencing_of_house_mouse.fastq.gz
SRR006786	Other Sequencing of house mouse	Illumina Genome Analyzer	3772	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006786/SRR006786.sra	SRR006786.sra	SRR006786_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006786/SRR006786.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006786/SRR006786.fastq.gz	SRR006786.fastq.gz	SRR006786_Other_Sequencing_of_house_mouse.fastq.gz
SRR007433	Other Sequencing of house mouse	Illumina Genome Analyzer	2973	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007433/SRR007433.sra	SRR007433.sra	SRR007433_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007433/SRR007433.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007433/SRR007433.fastq.gz	SRR007433.fastq.gz	SRR007433_Other_Sequencing_of_house_mouse.fastq.gz
SRR006814	Other Sequencing of house mouse	Illumina Genome Analyzer	240	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006814/SRR006814.sra	SRR006814.sra	SRR006814_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006814/SRR006814.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006814/SRR006814.fastq.gz	SRR006814.fastq.gz	SRR006814_Other_Sequencing_of_house_mouse.fastq.gz
SRR006818	Other Sequencing of house mouse	Illumina Genome Analyzer	2565	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006818/SRR006818.sra	SRR006818.sra	SRR006818_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006818/SRR006818.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006818/SRR006818.fastq.gz	SRR006818.fastq.gz	SRR006818_Other_Sequencing_of_house_mouse.fastq.gz
SRR006817	Other Sequencing of house mouse	Illumina Genome Analyzer	646	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006817/SRR006817.sra	SRR006817.sra	SRR006817_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006817/SRR006817.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006817/SRR006817.fastq.gz	SRR006817.fastq.gz	SRR006817_Other_Sequencing_of_house_mouse.fastq.gz
SRR006816	Other Sequencing of house mouse	Illumina Genome Analyzer	181	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006816/SRR006816.sra	SRR006816.sra	SRR006816_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006816/SRR006816.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006816/SRR006816.fastq.gz	SRR006816.fastq.gz	SRR006816_Other_Sequencing_of_house_mouse.fastq.gz
SRR006813	Other Sequencing of house mouse	Illumina Genome Analyzer	667	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006813/SRR006813.sra	SRR006813.sra	SRR006813_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006813/SRR006813.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006813/SRR006813.fastq.gz	SRR006813.fastq.gz	SRR006813_Other_Sequencing_of_house_mouse.fastq.gz
SRR006815	Other Sequencing of house mouse	Illumina Genome Analyzer	655	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006815/SRR006815.sra	SRR006815.sra	SRR006815_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006815/SRR006815.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006815/SRR006815.fastq.gz	SRR006815.fastq.gz	SRR006815_Other_Sequencing_of_house_mouse.fastq.gz
SRR006849	Other Sequencing of house mouse	Illumina Genome Analyzer	2398	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006849/SRR006849.sra	SRR006849.sra	SRR006849_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006849/SRR006849.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006849/SRR006849.fastq.gz	SRR006849.fastq.gz	SRR006849_Other_Sequencing_of_house_mouse.fastq.gz
