Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR006786,ChIP-Seq,27,377177391,PRJNA113703,SAMN00001378,4545900629,GEO,public,"run.zq,sra,srf","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX001920,Illumina Genome Analyzer,ES_H3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:42:00Z,2,ES_H3_ChIPSeq,SRP000415
SRR006787,ChIP-Seq,27,23868216,PRJNA113703,SAMN00001379,241543817,GEO,public,"run.zq,sra,srf","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX001921,Illumina Genome Analyzer,ES_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:31:00Z,2,ES_H3K27me3_ChIPSeq,SRP000415
SRR006789,ChIP-Seq,27,20118051,PRJNA113703,SAMN00001381,229467244,GEO,public,"sra,run.zq,srf","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX001923,Illumina Genome Analyzer,ES_H3K4me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:31:00Z,3,ES_H3K4me3_ChIPSeq,SRP000415
SRR006792,ChIP-Seq,47,321905115,PRJNA113703,SAMN00001384,4037877087,GEO,public,"srf,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX001926,Illumina Genome Analyzer,ES_RPol2_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:44:00Z,2,ES_RPol2_ChIPSeq,SRP000415
SRR006793,ChIP-Seq,27,74527290,PRJNA113703,SAMN00001385,898311008,GEO,public,"run.zq,sra,srf","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX001927,Illumina Genome Analyzer,ES_WCE_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:34:00Z,2,ES_WCE_ChIPSeq,SRP000415
SRR006797,ChIP-Seq,27,24025734,PRJNA113703,SAMN00001389,251737991,GEO,public,"run.zq,sra,srf","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX001931,Illumina Genome Analyzer,MEF_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:33:00Z,2,MEF_H3K27me3_ChIPSeq_1,SRP000415
SRR006799,ChIP-Seq,32,252834560,PRJNA113703,SAMN00001391,3388317115,GEO,public,"run.zq,sra,srf","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX001933,Illumina Genome Analyzer,MEF_H3K4me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:43:00Z,3,MEF_H3K4me3_ChIPSeq_1,SRP000415
SRR006805,ChIP-Seq,32,252932512,PRJNA113703,SAMN00001397,3194664584,GEO,public,"sra,srf,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX001939,Illumina Genome Analyzer,NP_H3K9me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:44:00Z,2,NP_H3K9me3_ChIPSeq,SRP000415
SRR006806,ChIP-Seq,27,276932358,PRJNA113703,SAMN00001398,3116981707,GEO,public,"sra,run.zq,srf","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX001940,Illumina Genome Analyzer,NP_WCE_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:44:00Z,2,NP_WCE_ChIPSeq,SRP000415
SRR006813,ChIP-Seq,27,66735036,PRJNA113703,SAMN00001379,788488575,GEO,public,"srf,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX001921,Illumina Genome Analyzer,ES_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:36:00Z,2,ES_H3K27me3_ChIPSeq,SRP000415
SRR006814,ChIP-Seq,27,24028002,PRJNA113703,SAMN00001379,243872434,GEO,public,"sra,run.zq,srf","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX001921,Illumina Genome Analyzer,ES_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:35:00Z,2,ES_H3K27me3_ChIPSeq,SRP000415
SRR006815,ChIP-Seq,27,65492685,PRJNA113703,SAMN00001379,774358477,GEO,public,"sra,run.zq,srf","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX001921,Illumina Genome Analyzer,ES_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:36:00Z,2,ES_H3K27me3_ChIPSeq,SRP000415
SRR006816,ChIP-Seq,27,18060813,PRJNA113703,SAMN00001379,177266033,GEO,public,"srf,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX001921,Illumina Genome Analyzer,ES_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:35:00Z,2,ES_H3K27me3_ChIPSeq,SRP000415
SRR006817,ChIP-Seq,27,64581354,PRJNA113703,SAMN00001379,758679013,GEO,public,"sra,run.zq,srf","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX001921,Illumina Genome Analyzer,ES_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:36:00Z,2,ES_H3K27me3_ChIPSeq,SRP000415
SRR006818,ChIP-Seq,32,256523904,PRJNA113703,SAMN00001379,3241777960,GEO,public,"run.zq,srf,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX001921,Illumina Genome Analyzer,ES_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:44:00Z,2,ES_H3K27me3_ChIPSeq,SRP000415
SRR006822,ChIP-Seq,32,185288704,PRJNA113703,SAMN00001389,2462482809,GEO,public,"sra,srf,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX001931,Illumina Genome Analyzer,MEF_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:40:00Z,3,MEF_H3K27me3_ChIPSeq_1,SRP000415
SRR006823,ChIP-Seq,32,212348832,PRJNA113703,SAMN00001389,2887747278,GEO,public,"srf,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX001931,Illumina Genome Analyzer,MEF_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:41:00Z,3,MEF_H3K27me3_ChIPSeq_1,SRP000415
SRR006824,ChIP-Seq,29,248869996,PRJNA113703,SAMN00001389,3263260702,GEO,public,"sra,run.zq,srf","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX001931,Illumina Genome Analyzer,MEF_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:44:00Z,3,MEF_H3K27me3_ChIPSeq_1,SRP000415
SRR006825,ChIP-Seq,29,220710822,PRJNA113703,SAMN00001389,2881052499,GEO,public,"run.zq,srf,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX001931,Illumina Genome Analyzer,MEF_H3K27me3_ChIPSeq,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2009-02-03T00:00:00Z,2014-05-25T18:46:00Z,3,MEF_H3K27me3_ChIPSeq_1,SRP000415
